Man United,Fulham,West Ham,Aston Villa,Nott'm Forest,Bournemouth,Newcastle,Southampton,Ipswich,Liverpool,Arsenal,Wolves,Everton,Brighton,Brentford,Crystal Palace,Chelsea,Man City,Leicester,Tottenham
57,51,45,39,46,59,56,47,26,68,62,55,41,51,59,47,60,62,64,58
58,47,47,52,66,54,62,34,39,68,67,52,57,49,53,51,48,59,48,40
55,37,58,60,45,67,45,25,55,64,57,42,47,46,65,62,45,73,63,53
58,55,32,45,65,53,56,41,38,52,48,59,56,44,52,67,65,64,51,56
53,40,59,52,51,60,61,45,44,64,71,46,36,47,57,60,54,55,43,52
52,47,43,62,55,57,62,39,46,75,51,55,51,54,53,48,61,62,47,53
57,51,45,45,47,75,53,29,29,68,63,71,52,63,45,61,48,63,51,51
53,44,33,45,55,59,43,36,42,80,66,56,52,69,60,55,47,70,41,55
57,42,40,43,36,58,54,44,54,55,74,64,49,50,49,53,78,67,40,58
65,57,41,48,37,63,62,40,35,62,51,51,41,55,63,65,77,44,47,45
49,46,56,64,47,61,48,56,42,55,50,42,44,56,57,69,59,72,41,45
52,45,46,60,61,70,68,33,29,51,67,65,42,49,63,46,60,62,41,49
56,58,47,50,49,51,39,41,41,61,79,55,59,58,59,45,51,68,45,53
55,49,46,81,60,55,69,43,36,56,61,49,55,39,45,44,69,61,38,50
72,50,34,64,44,61,47,39,44,72,69,53,56,52,59,52,42,59,51,43
49,48,55,65,56,68,47,52,27,59,77,53,50,53,57,56,47,60,24,52
49,52,42,59,38,75,64,40,50,57,58,61,45,48,43,60,53,70,35,66
54,55,41,39,60,58,66,46,43,68,74,43,46,48,55,45,78,60,46,49
59,62,50,59,59,52,61,38,43,74,73,46,42,45,51,60,45,66,44,34
49,53,48,44,53,48,54,39,27,67,70,50,31,46,69,70,60,88,49,46
48,44,49,49,62,52,55,35,53,85,72,45,47,55,53,39,54,70,53,36
50,58,31,38,74,52,55,57,52,65,67,44,42,48,51,51,51,60,46,51
54,43,49,50,58,53,49,30,47,72,85,39,43,63,62,60,59,43,54,53
57,58,57,42,46,50,60,35,42,61,60,46,39,60,49,54,48,85,36,64
61,42,37,51,48,59,69,27,59,59,64,36,55,57,57,46,57,64,41,65
43,53,56,48,49,48,70,41,45,46,61,50,26,49,69,51,65,64,51,60
52,52,63,41,56,42,48,37,45,66,54,62,39,53,59,51,55,79,38,67
51,55,52,51,58,68,58,35,38,73,60,37,35,50,53,43,52,57,49,59
